,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,lata,40.16,-8.33,61.0,80,13,4.41,PT,1591993624
347,kuruman,-27.45,23.43,33.01,62,0,11.41,ZA,1591993411
348,bud,39.45,-86.18,84.0,23,1,9.17,US,1591993624
349,miranda,3.25,-76.23,80.6,69,75,6.93,CO,1591993625
350,kahului,20.89,-156.47,87.8,40,20,18.34,US,1591993606
351,san pedro,13.3,-4.9,99.9,22,100,4.97,ML,1591993625
352,mulchen,-37.72,-72.23,48.2,87,40,3.13,CL,1591993625
353,balkanabat,39.51,54.37,90.99,11,97,15.77,TM,1591993625
354,deputatskiy,69.3,139.9,56.5,65,100,3.44,RU,1591993625
355,bethel,41.37,-73.41,82.99,34,40,10.29,US,1591993496
356,hay river,52.07,-3.13,60.01,92,93,1.01,GB,1591993626
357,makurdi,7.74,8.51,79.47,76,92,4.32,NG,1591993345
358,boueni,-12.9,45.08,77.0,78,82,5.82,YT,1591993626
359,along,28.17,94.77,73.72,88,99,0.78,IN,1591993626
360,plettenberg bay,51.22,7.88,72.0,72,3,6.4,DE,1591993626
361,kavaratti,10.57,72.64,85.03,75,100,15.57,IN,1591993647
362,copiapo,-27.37,-70.33,64.4,52,0,18.34,CL,1591993422
363,port lincoln,-7.03,29.76,73.85,57,11,6.73,CD,1591993525
364,praia da vitoria,14.92,-23.51,78.8,74,16,14.99,CV,1591993648
365,russell,32.35,-85.2,91.4,38,1,4.7,US,1591993648
366,brae,60.4,-1.35,53.6,87,17,9.17,GB,1591993648
367,gat,31.61,34.76,75.99,55,3,1.01,IL,1591993648
368,adrar,20.5,-10.07,100.74,16,0,12.37,MR,1591993648
369,matara,5.95,80.54,78.98,88,1,8.55,LK,1591993408
370,berlevag,70.86,29.09,50.0,66,97,23.04,NO,1591993649
371,aviles,43.55,-5.92,57.99,93,75,17.22,ES,1591993390
372,bembereke,10.23,2.66,76.96,74,60,4.81,BJ,1591993650
373,novooleksiyivka,46.23,34.64,65.46,85,9,3.47,UA,1591993650
374,provideniya,64.38,-173.3,51.17,63,0,4.38,RU,1591993591
375,vaitape,-16.52,-151.75,81.25,80,1,11.45,PF,1591993650
376,carlyle,38.61,-89.37,89.01,36,0,8.01,US,1591993635
377,burns lake,43.59,-119.05,80.6,15,1,11.27,US,1591993651
378,hohhot,40.81,111.65,62.6,42,40,17.9,CN,1591993651
379,achacachi,-16.05,-68.68,51.87,44,27,4.32,BO,1591993651
380,shelburne,44.08,-80.2,59.0,51,75,12.75,CA,1591993651
381,kalabo,-14.97,22.68,60.96,36,6,10.09,ZM,1591993651
382,touros,-5.2,-35.46,78.8,78,20,6.93,BR,1591993651
383,hong gai,55.51,11.29,64.0,1,73,12.75,DK,1591993651
384,port hawkesbury,-7.03,29.76,73.85,57,11,6.73,CD,1591993610
385,cascais,38.7,-9.42,64.0,82,20,4.7,PT,1591993652
